sequenceID	source.name	genotype	length
AB189123	ncbi-curated	-	10723
AB455493	ncbi-curated	ECSA	11829
AB479041	ncbi-curated	-	10647
AB860301	ncbi-curated	Asian	11933
AF022436	ncbi-curated	-	10723
AF169683	ncbi-curated	-	10723
AF369024	ncbi-curated	ECSA	11826
AF490259	ncbi-curated	ECSA	11812
AM258990	ncbi-curated	ECSA	11601
AM258994	ncbi-curated	ECSA	11601
AM258995	ncbi-curated	ECSA	11601
AY726732	ncbi-curated	WestAfr	11881
EF027135	ncbi-curated	ECSA	11729
EF027136	ncbi-curated	ECSA	11800
EF027137	ncbi-curated	ECSA	11767
EF027139	ncbi-curated	ECSA	11814
EF210157	ncbi-curated	ECSA	11774
EU037962	ncbi-curated	ECSA	11805
EU372006	ncbi-curated	ECSA	11774
EU564335	ncbi-curated	ECSA	11810
FJ000062	ncbi-curated	ECSA	11812
FJ000063	ncbi-curated	ECSA	11812
FJ000064	ncbi-curated	ECSA	11807
FJ000065	ncbi-curated	ECSA	11813
FJ000066	ncbi-curated	ECSA	11812
FJ000067	ncbi-curated	ECSA	11812
FJ000068	ncbi-curated	ECSA	11812
FJ000069	ncbi-curated	ECSA	11812
FJ445428	ncbi-curated	ECSA	11717
FJ445431	ncbi-curated	ECSA	11722
FJ445432	ncbi-curated	ECSA	11722
FJ445433	ncbi-curated	ECSA	11729
FJ445445	ncbi-curated	ECSA	11719
FJ445463	ncbi-curated	ECSA	11729
FJ445484	ncbi-curated	ECSA	11790
FJ445502	ncbi-curated	ECSA	11717
FJ445511	ncbi-curated	ECSA	11719
FJ513628	ncbi-curated	ECSA	11722
FJ513629	ncbi-curated	ECSA	11716
FJ513632	ncbi-curated	ECSA	11693
FJ513635	ncbi-curated	ECSA	11726
FJ513637	ncbi-curated	ECSA	11710
FJ513645	ncbi-curated	ECSA	11714
FJ513654	ncbi-curated	ECSA	11717
FJ513657	ncbi-curated	ECSA	11696
FJ513673	ncbi-curated	ECSA	11710
FJ513679	ncbi-curated	ECSA	11717
FJ959103	ncbi-curated	ECSA	11832
FN295484	ncbi-curated	Asian	11612
FR687340	ncbi-curated	ECSA	11172
FR687341	ncbi-curated	ECSA	11172
FR687342	ncbi-curated	ECSA	11172
FR687343	ncbi-curated	ECSA	11172
FR687344	ncbi-curated	ECSA	11172
FR687345	ncbi-curated	ECSA	11172
FR687346	ncbi-curated	ECSA	11172
FR687347	ncbi-curated	ECSA	11172
FR687348	ncbi-curated	ECSA	11172
FR717336	ncbi-curated	ECSA	11559
FR717337	ncbi-curated	ECSA	11559
FU759460	ncbi-curated	ECSA	11601
FU759461	ncbi-curated	ECSA	11601
FU759462	ncbi-curated	ECSA	11601
FU759463	ncbi-curated	ECSA	11598
FU759464	ncbi-curated	ECSA	11601
FU759465	ncbi-curated	ECSA	11237
GM839372	ncbi-curated	ECSA	11601
GM839373	ncbi-curated	ECSA	11601
GM839374	ncbi-curated	ECSA	11601
GM839375	ncbi-curated	ECSA	11598
GM839376	ncbi-curated	ECSA	11601
GM839377	ncbi-curated	ECSA	11237
GQ428210	ncbi-curated	ECSA	11764
GQ428212	ncbi-curated	ECSA	11764
GQ428213	ncbi-curated	ECSA	11764
GQ428214	ncbi-curated	ECSA	11764
GQ905863	ncbi-curated	ECSA	11752
GU013528	ncbi-curated	ECSA	11715
GU013529	ncbi-curated	ECSA	11718
GU013530	ncbi-curated	ECSA	11714
GU189061	ncbi-curated	ECSA	11838
GU199350	ncbi-curated	ECSA	11687
GU199351	ncbi-curated	ECSA	11793
GU301779	ncbi-curated	ECSA	11811
GU908223	ncbi-curated	ECSA	11670
HE806461	ncbi-curated	Asian	11621
HM045787	ncbi-curated	Asian	11968
HM045788	ncbi-curated	Asian	11988
HM045789	ncbi-curated	Asian	11855
HM045791	ncbi-curated	Asian	11992
HM045793	ncbi-curated	ECSA	11767
HM045794	ncbi-curated	ECSA	11774
HM045795	ncbi-curated	ECSA	11693
HM045796	ncbi-curated	Asian	11979
HM045797	ncbi-curated	Asian	11979
HM045798	ncbi-curated	WestAfr	11832
HM045799	ncbi-curated	ECSA	11758
HM045800	ncbi-curated	Asian	11897
HM045801	ncbi-curated	ECSA	11766
HM045802	ncbi-curated	Asian	11975
HM045803	ncbi-curated	Asian	11897
HM045804	ncbi-curated	WestAfr	11847
HM045805	ncbi-curated	ECSA	11686
HM045806	ncbi-curated	ECSA	11768
HM045807	ncbi-curated	WestAfr	11843
HM045808	ncbi-curated	Asian	11968
HM045809	ncbi-curated	ECSA	11753
HM045810	ncbi-curated	Asian	11986
HM045812	ncbi-curated	ECSA	11774
HM045814	ncbi-curated	Asian	11939
HM045823	ncbi-curated	ECSA	11754
HQ456251	ncbi-curated	ECSA	11836
HQ456252	ncbi-curated	ECSA	11836
HQ456253	ncbi-curated	ECSA	11836
HQ456254	ncbi-curated	ECSA	11836
HQ456255	ncbi-curated	ECSA	11836
HQ846356	ncbi-curated	ECSA	11746
HQ846357	ncbi-curated	ECSA	11720
HQ846358	ncbi-curated	ECSA	11730
HQ846359	ncbi-curated	ECSA	11725
HW249775	ncbi-curated	ECSA	11601
HW249776	ncbi-curated	ECSA	11601
HW249777	ncbi-curated	ECSA	11601
HW249778	ncbi-curated	ECSA	11598
HW249779	ncbi-curated	ECSA	11601
HW249780	ncbi-curated	ECSA	11237
HW642747	ncbi-curated	ECSA	11234
HW642748	ncbi-curated	ECSA	11234
HW642749	ncbi-curated	ECSA	11234
HW642750	ncbi-curated	ECSA	11234
HW642751	ncbi-curated	ECSA	11234
HW642752	ncbi-curated	ECSA	11234
JA879127	ncbi-curated	ECSA	11601
JA879128	ncbi-curated	ECSA	11601
