taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_CHIKV_Asian/member/ncbi-curated/AB860301	AB860301	Asian	-	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AY424803	AY424803	Asian	Nagpur (India) 653496	India	-
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/EF027140	EF027140	Asian	IND-63-WB1	India	1963
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/EF027141	EF027141	Asian	IND-73-MH5	India	1973
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/EU192143	EU192143	Asian	0706aTw	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807886	FJ807886	Asian	0712aTw	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807887	FJ807887	Asian	0712bTw	Indonesia	2007
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807888	FJ807888	Asian	0802aTw	Indonesia	2008
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807889	FJ807889	Asian	0804aTw	Indonesia	2008
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807890	FJ807890	Asian	0806aTw	Indonesia	2008
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/FJ807891	FJ807891	Asian	0811aTw	Indonesia	2008
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/FJ807897	FJ807897	Asian	0706aTw	Taiwan	2007
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/FN295483	FN295483	Asian	-	Malaysia	2006
alignment/AL_CHIKV_Asian/member/ncbi-curated/FN295484	FN295484	Asian	-	Malaysia:Perak	2006
alignment/AL_CHIKV_Asian/member/ncbi-curated/HE806461	HE806461	Asian	NC/2011-568	New Caledonia	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045787	HM045787	Asian	SV0444-95	Thailand	1995
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045788	HM045788	Asian	PO731460	India	1973
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045789	HM045789	Asian	6441-88	Thailand	1988
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/HM045790	HM045790	Asian	PhH15483	Phil	1985
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045791	HM045791	Asian	JKT23574	Indonesia	1983
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045796	HM045796	Asian	CO392-95	Thailand	1995
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045797	HM045797	Asian	RSU1	Indonesia	1985
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045800	HM045800	Asian	Hu/85/NR/001	Philippines	1985
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045802	HM045802	Asian	K0146-95	Thailand	-
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045803	HM045803	Asian	I-634029	India	1963
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045808	HM045808	Asian	3412-78	Thailand	1978
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045810	HM045810	Asian	TH35	Thailand	1958
alignment/AL_CHIKV_Asian/member/ncbi-refseqs/HM045813	HM045813	Asian	Gibbs 63-263	India	1963
alignment/AL_CHIKV_Asian/member/ncbi-curated/HM045814	HM045814	Asian	1455-75	Thailand	1975
alignment/AL_CHIKV_Asian/member/ncbi-curated/KC488650	KC488650	Asian	CHIKV-JC2012	China	2012
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879559	KC879559	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879560	KC879560	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879561	KC879561	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879562	KC879562	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879563	KC879563	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879564	KC879564	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879565	KC879565	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879566	KC879566	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879567	KC879567	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879568	KC879568	Asian	-	Indonesia	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/KC879569	KC879569	Asian	-	Indonesia	-
