taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678677	AB678677	Asian	CHIK/SBY8/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678678	AB678678	Asian	CHIK/SBY10/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678679	AB678679	Asian	CHIK/SBY11/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678680	AB678680	Asian	CHIK/SBY13/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678681	AB678681	Asian	CHIK/SBY53/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678682	AB678682	Asian	CHIK/SBY61/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678683	AB678683	Asian	CHIK/SBY76/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678684	AB678684	Asian	CHIK/SBY86/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678685	AB678685	Asian	CHIK/SBY95/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678686	AB678686	Asian	CHIK/SBY183/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678687	AB678687	Asian	CHIK/SBY48/11	Indonesia	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678688	AB678688	Asian	CHIK/SBY83/11	Indonesia	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678689	AB678689	Asian	CHIK/SBYC1Mos/11	Indonesia	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678690	AB678690	Asian	CHIK/SBYK1Mos/11	Indonesia	2011
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678691	AB678691	Asian	CHIK/SBY6/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678692	AB678692	Asian	CHIK/SBY7/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678693	AB678693	Asian	CHIK/SBY59/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678694	AB678694	Asian	CHIK/SBY79/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AB678695	AB678695	Asian	CHIK/SBY176/10	Indonesia	2010
alignment/AL_CHIKV_Asian/member/ncbi-curated/AB860301	AB860301	Asian	-	Philippines	2013
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192894	AF192894	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192895	AF192895	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192896	AF192896	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192897	AF192897	Asian	-	-	-
alignment/AL_CHIKV_Asian/member/ncbi-curated-short/AF192898	AF192898	Asian	-	-	-
