taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/AB455494	AB455494	ECSA	SL10571	Japan	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/AM258991	AM258991	ECSA	05-209	Seyche	2005
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/AM258992	AM258992	ECSA	06-021	Reunion	2005
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/AM258993	AM258993	ECSA	06-027	Reunion	2005
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/DQ443544	DQ443544	ECSA	LR2006_OPY1	Reunion	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/EF012359	EF012359	ECSA	D570/06	Mauri	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/EF027134	EF027134	ECSA	IND-06-AP3	India	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/EF027138	EF027138	ECSA	IND-06-TN1	India	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/EF027140	EF027140	Asian	IND-63-WB1	India	1963
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/EF027141	EF027141	Asian	IND-73-MH5	India	1973
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/EU244823	EU244823	ECSA	ITA07-RA1	Italy	2007
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/EU564334	EU564334	ECSA	TM25	Mauri	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ445426	FJ445426	ECSA	-	SriLanka	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ445427	FJ445427	ECSA	-	SriLanka	2007
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ445430	FJ445430	ECSA	-	Sing	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ445443	FJ445443	ECSA	-	Sing	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ445510	FJ445510	ECSA	-	Sing	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ513675	FJ513675	ECSA	-	Srilanka	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ807896	FJ807896	ECSA	0611aTw	Taiwan	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ807897	FJ807897	Asian	0706aTw	Taiwan	2007
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ807898	FJ807898	ECSA	0810aTw	Taiwan	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FJ807899	FJ807899	ECSA	0810bTw	Taiwan	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FN295483	FN295483	Asian	-	Malaysia	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FN295485	FN295485	ECSA	-	Malaysia	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/FN295487	FN295487	ECSA	-	Malaysia	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/GQ428211	GQ428211	ECSA	RGCB05/KL06	India	2006
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/GQ428215	GQ428215	ECSA	RGCB356/KL08	India	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/GU199352	GU199352	ECSA	FD080178	China	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/GU199353	GU199353	ECSA	FD080231	China	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/GU301780	GU301780	ECSA	-	Thailand	2008
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/GU301781	GU301781	ECSA	-	Thailand	2009
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045784	HM045784	ECSA	DakAr B 16878	Central	1984
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045785	HM045785	WestAfr	PM2951	Senegal	1966
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045786	HM045786	WestAfr	IbH35	Nigeria	1964
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045790	HM045790	Asian	PhH15483	Phil	1985
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045792	HM045792	ECSA	Vereeniging	South	1956
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045811	HM045811	ECSA	Ross low-psg	Tanzania	1953
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045813	HM045813	Asian	Gibbs 63-263	India	1963
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045815	HM045815	WestAfr	ArD 30237	Senegal	1979
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045816	HM045816	WestAfr	SH 3013	Senegal	1966
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045817	HM045817	WestAfr	HD 180760	Senegal	2005
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045818	HM045818	WestAfr	ArA 2657	Ivory	1981
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045819	HM045819	WestAfr	ArD 93229	Senegal	1993
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045820	HM045820	WestAfr	ArA 30548	Ivory	1993
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045821	HM045821	ECSA	A301	Senegal	1963
alignment/AL_UNC_CHIKV_ROOT/member/ncbi-refseqs/HM045822	HM045822	ECSA	HB78	Central	1978
