taxon	sequenceID	genotype	isolate	country	collection_year
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/AF192891	AF192891	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/AF192892	AF192892	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/AF192893	AF192893	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated/AY726732	AY726732	WestAfr	37997	Senegal	-
alignment/AL_CHIKV_WestAfr/member/ncbi-refseqs/HM045785	HM045785	WestAfr	PM2951	Senegal	1966
alignment/AL_CHIKV_WestAfr/member/ncbi-refseqs/HM045786	HM045786	WestAfr	IbH35	Nigeria	1964
alignment/AL_CHIKV_WestAfr/member/ncbi-curated/HM045798	HM045798	WestAfr	SH2830	Senegal	1966
alignment/AL_CHIKV_WestAfr/member/ncbi-curated/HM045804	HM045804	WestAfr	IPD/A SH 2807	Senegal	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated/HM045807	HM045807	WestAfr	IbAn4824	Nigeria	1965
alignment/AL_CHIKV_WestAfr/member/ncbi-refseqs/HM045815	HM045815	WestAfr	ArD 30237	Senegal	1979
alignment/AL_CHIKV_WestAfr/member/ncbi-refseqs/HM045816	HM045816	WestAfr	SH 3013	Senegal	1966
alignment/AL_CHIKV_WestAfr/member/ncbi-refseqs/HM045817	HM045817	WestAfr	HD 180760	Senegal	2005
alignment/AL_CHIKV_WestAfr/member/ncbi-refseqs/HM045818	HM045818	WestAfr	ArA 2657	Ivory	1981
alignment/AL_CHIKV_WestAfr/member/ncbi-refseqs/HM045819	HM045819	WestAfr	ArD 93229	Senegal	1993
alignment/AL_CHIKV_WestAfr/member/ncbi-refseqs/HM045820	HM045820	WestAfr	ArA 30548	Ivory	1993
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/HW799201	HW799201	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/HW799203	HW799203	WestAfr	-	-	-
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943687	JQ943687	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943688	JQ943688	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943689	JQ943689	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943690	JQ943690	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943691	JQ943691	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943692	JQ943692	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943693	JQ943693	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943694	JQ943694	WestAfr	-	Senegal	2009
alignment/AL_CHIKV_WestAfr/member/ncbi-curated-short/JQ943695	JQ943695	WestAfr	-	Senegal	2009
